Indicator,2011,2014,2017,2021,2024
GDP growth (annual %),5.12,5.02,3.84,7.59,4.5
GDP (constant 2015 US$),58603891851.295,66801914096.6185,75879571212.3885,90413816676.9795,104575203135.656
Domestic credit to private sector (% of GDP),27.37,34.52,33.15,31.12,
"Inflation, consumer prices (annual %)",14.02,6.88,8.01,6.11,4.49
