Indicator,2007,2013,2018
Percent of firms with a bank loan/line of credit,,16.6,
Percent of firms identifying access to finance as a major constraint,,43.9,
Real annual sales growth (%),,-22.1,
Real annual labor productivity growth (%),,-27.6,
